artist,track_count,danceability,energy,valence,acousticness,loudness,speechiness,popularity,danceability_delta_vs_madonna,energy_delta_vs_madonna,valence_delta_vs_madonna,acousticness_delta_vs_madonna,loudness_delta_vs_madonna,speechiness_delta_vs_madonna,popularity_delta_vs_madonna
Adele,60,0.5517333333333333,0.45380000000000004,0.33550833333333335,0.49712566666666663,-7.093983333333333,0.03875666666666667,63.45,-0.1336919540229885,-0.19776839080459768,-0.2601761494252874,0.272031632183908,2.4620798850574728,-0.009931839080459769,18.78333333333334
Alanis Morissette,44,0.4728636363636364,0.6559318181818182,0.3437909090909091,0.17263363636363638,-7.926590909090908,0.06112272727272727,50.61363636363637,-0.21256165099268542,0.004363427377220508,-0.25189357366771165,-0.05246039811912223,1.6294723092998975,0.012434221525600836,5.946969696969703
Alicia Keys,27,0.5801111111111111,0.5392962962962963,0.3703962962962963,0.4279,-7.410444444444444,0.07388888888888889,57.22222222222222,-0.10531417624521067,-0.11227209450830145,-0.22528818646232446,0.2028059655172414,2.145618773946362,0.025200383141762456,12.555555555555557
Amy Winehouse,43,0.6416511627906977,0.5154186046511628,0.5374186046511629,0.2887606976744186,-8.732744186046512,0.06465581395348836,59.16279069767442,-0.04377412456562413,-0.13614978615343487,-0.05826587810745787,0.06366666319165998,0.823319032344294,0.015967308206361927,14.496124031007753
Ariana Grande,68,0.6346176470588235,0.5850147058823529,0.4031029411764706,0.23443529411764705,-5.698205882352942,0.06775294117647059,63.30882352941177,-0.05080764029749829,-0.06655368492224478,-0.19258154158215013,0.009341259634888438,3.8578573360378643,0.019064435429344148,18.642156862745104
Britney Spears,58,0.7014482758620689,0.7538620689655172,0.7016206896551724,0.20012053448275863,-5.405655172413794,0.059781034482758615,51.258620689655174,0.016022988505747127,0.1022936781609195,0.1059362068965517,-0.024973499999999982,4.150408045977012,0.011092528735632178,6.59195402298851
Camila Cabello,8,0.574875,0.50875,0.496,0.3866,-6.353875,0.1323125,69.0,-0.11055028735632177,-0.14281839080459768,-0.09968448275862074,0.1615059655172414,3.2021882183908055,0.08362399425287356,24.333333333333336
Charli XCX,10,0.7009000000000001,0.8547,0.6131,0.11716,-2.9178,0.08601,58.4,0.015474712643678279,0.2031316091954023,0.01741551724137924,-0.10793403448275861,6.638263218390806,0.037321494252873566,13.733333333333334
Cher,81,0.5392592592592592,0.5539382716049382,0.5416049382716049,0.28349716049382717,-11.023037037037037,0.037565432098765436,33.50617283950617,-0.14616602809706258,-0.09763011919965947,-0.054079544487015796,0.05840312601106856,-1.466973818646231,-0.011123073648361001,-11.160493827160494
Christina Aguilera,38,0.6016052631578948,0.6439473684210526,0.4534315789473684,0.31381123684210527,-6.040921052631579,0.09214736842105264,55.13157894736842,-0.08382002419842705,-0.007621022383545117,-0.14225290381125233,0.08871720235934666,3.5151421657592268,0.04345886267392621,10.464912280701753
Cyndi Lauper,39,0.6293333333333333,0.6461897435897436,0.5812358974358974,0.3175956153846154,-8.912179487179486,0.03625641025641026,45.64102564102564,-0.0560919540229885,-0.005378647214854149,-0.014448585322723306,0.09250158090185678,0.6438837312113197,-0.01243209549071618,0.974358974358978
Demi Lovato,130,0.5395000000000001,0.5866307692307693,0.45126923076923076,0.23179833846153847,-6.275176923076923,0.10270692307692308,47.36153846153846,-0.1459252873563217,-0.06493762157382843,-0.14441525198938998,0.0067043039787798575,3.2808862953138824,0.05401841732979665,2.694871794871794
Diana Ross,84,0.5619642857142857,0.5868214285714286,0.609297619047619,0.35060238095238094,-9.975488095238095,0.04702738095238095,33.607142857142854,-0.1234610016420361,-0.06474696223316911,0.013613136288998295,0.12550834646962233,-0.41942487684728924,-0.0016611247947454846,-11.05952380952381
Doja Cat,10,0.7179,0.6566,0.5675,0.20145,-5.4218,0.08948,75.9,0.03247471264367818,0.005031609195402242,-0.028184482758620732,-0.02364403448275862,4.134263218390806,0.04079149425287357,31.23333333333334
Donna Summer,96,0.7072291666666667,0.654953125,0.7761979166666667,0.11117294791666667,-11.863197916666666,0.04679791666666667,35.875,0.021803879310344887,0.003384734195402306,0.18051343390804597,-0.11392108656609194,-2.30713469827586,-0.0018905890804597689,-8.791666666666664
Dua Lipa,56,0.6835892857142857,0.6689285714285714,0.5329642857142857,0.12386660714285715,-5.1969642857142855,0.07319464285714286,56.69642857142857,-0.0018360016420361225,0.01736018062397371,-0.06272019704433507,-0.10122742733990146,4.35909893267652,0.024506137110016424,12.029761904761905
Gwen Stefani,18,0.7733888888888889,0.8427777777777777,0.7517777777777778,0.16385555555555553,-3.713277777777778,0.05881111111111111,45.888888888888886,0.0879636015325671,0.19120938697318002,0.15609329501915703,-0.06123847892720308,5.842785440613028,0.010122605363984676,1.2222222222222214
Halsey,21,0.5893809523809524,0.6155714285714285,0.4205238095238095,0.22665857142857143,-6.1657142857142855,0.05047142857142858,69.0,-0.09604433497536935,-0.03599696223316917,-0.17516067323481121,0.0015645369458128222,3.3903489326765204,0.0017829228243021397,24.333333333333336
Janet Jackson,61,0.7271147540983607,0.7020000000000001,0.6266704918032787,0.2333028163934426,-8.983245901639343,0.0572,45.459016393442624,0.04168946674203888,0.05043160919540235,0.03098600904465798,0.008208781910683999,0.572817316751463,0.008511494252873564,0.79234972677596
Jennifer Lopez,27,0.7364074074074074,0.7694074074074074,0.6641851851851852,0.08491111111111112,-5.60737037037037,0.06875185185185186,51.81481481481482,0.0509821200510856,0.11783901660280971,0.06850070242656447,-0.1401829233716475,3.9486928480204355,0.02006334610472542,7.148148148148152
Katy Perry,70,0.6301142857142856,0.7873857142857144,0.6336571428571429,0.04958302857142857,-4.613671428571428,0.04884142857142857,58.91428571428571,-0.05531100164203617,0.13581732348111664,0.03797266009852218,-0.17551100591133004,4.942391789819378,0.00015292282430213328,14.247619047619047
Kesha,14,0.715,0.6990714285714285,0.6436428571428571,0.10076509999999998,-4.3835,0.07983571428571427,61.857142857142854,0.02957471264367817,0.047503037766830736,0.047958374384236335,-0.12432893448275863,5.172563218390806,0.031147208538587837,17.19047619047619
Kylie Minogue,71,0.6617464788732395,0.8490281690140845,0.7079154929577465,0.10672832394366197,-6.232830985915493,0.046132394366197184,39.08450704225352,-0.023678808483082348,0.1974597782094868,0.11223101019912574,-0.11836571053909664,3.3232322324753127,-0.0025561113809292532,-5.582159624413144
Lady Gaga,77,0.6642207792207793,0.7658441558441559,0.5298571428571428,0.09791696883116884,-5.093831168831169,0.06248441558441559,52.36363636363637,-0.021204508135542532,0.11427576503955816,-0.06582733990147793,-0.12717706565158976,4.462232049559637,0.01379590983728915,7.696969696969703
Madonna,174,0.6854252873563218,0.6515683908045977,0.5956844827586207,0.2250940344827586,-9.556063218390806,0.04868850574712644,44.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mariah Carey,112,0.5517589285714285,0.5106875000000001,0.36697232142857145,0.41686669642857144,-8.906410714285714,0.04125267857142857,45.63392857142857,-0.1336663587848933,-0.14088089080459765,-0.2287121613300493,0.19177266194581283,0.6496525041050916,-0.007435827175697865,0.9672619047619051
Miley Cyrus,42,0.5919761904761904,0.722452380952381,0.4631428571428572,0.06901188095238095,-5.067428571428572,0.0587047619047619,52.595238095238095,-0.09344909688013137,0.07088399014778324,-0.13254162561576355,-0.15608215353037766,4.488634646962234,0.010016256157635461,7.928571428571431
Nicki Minaj,30,0.6810666666666666,0.6747666666666666,0.5294333333333333,0.12192399999999999,-5.911033333333333,0.17233666666666667,59.53333333333333,-0.0043586206896552016,0.023198275862068907,-0.06625114942528743,-0.10317003448275862,3.6450298850574727,0.12364816091954023,14.866666666666667
Olivia Rodrigo,5,0.4446,0.5027999999999999,0.1462,0.41628,-7.292199999999999,0.06894,82.2,-0.2408252873563218,-0.1487683908045978,-0.44948448275862074,0.19118596551724137,2.2638632183908065,0.020251494252873564,37.53333333333334
Pink,4,0.5835,0.692,0.55875,0.21507500000000002,-7.43725,0.032100000000000004,26.75,-0.10192528735632178,0.04043160919540223,-0.03693448275862077,-0.010019034482758593,2.118813218390806,-0.016588505747126434,-17.916666666666664
Rihanna,91,0.6414505494505495,0.673989010989011,0.5248681318681319,0.1376850769230769,-5.772285714285714,0.0727901098901099,60.9010989010989,-0.04397473790577233,0.022420620184413265,-0.07081635089048888,-0.0874089575596817,3.7837775041050916,0.024101604142983457,16.234432234432234
Selena Gomez,46,0.6850869565217391,0.6644782608695652,0.49211304347826085,0.09679456521739131,-5.690760869565217,0.07217173913043479,39.67391304347826,-0.00033833083458267854,0.012909870064967466,-0.10357143928035989,-0.12829946926536728,3.8653023488255887,0.02348323338330835,-4.992753623188406
Shakira,78,0.7000384615384616,0.6657192307692308,0.5887564102564102,0.27130179487179484,-6.919666666666667,0.048756410256410254,56.717948717948715,0.01461317418213981,0.014150839964633066,-0.006928072502210503,0.046207760389036234,2.636396551724139,6.790450928381708e-05,12.051282051282051
Shania Twain,51,0.6399803921568628,0.6733725490196079,0.6998823529411765,0.2605058823529412,-6.616607843137255,0.03942156862745098,50.31372549019608,-0.045444895199459046,0.02180415821501014,0.10419787018255577,0.03541184787018259,2.9394553752535506,-0.00926693711967546,5.647058823529413
Sia,50,0.51156,0.69026,0.417256,0.14287204,-5.3444,0.058882000000000004,56.4,-0.17386528735632178,0.038691609195402266,-0.17842848275862072,-0.0822219944827586,4.211663218390806,0.010193494252873567,11.733333333333334
Taylor Swift,359,0.5912729805013928,0.637707520891365,0.44217047353760447,0.20994356824512536,-6.0949610027855154,0.04846183844011142,60.729805013927574,-0.09415230685492904,-0.013860869913232765,-0.15351400922101627,-0.015150466237633248,3.4611022156052904,-0.00022666730701501742,16.06313834726091
Tina Turner,83,0.6592409638554216,0.6727469879518072,0.6528554216867469,0.17761662650602408,-8.707710843373494,0.04782891566265061,41.06024096385542,-0.026184323500900164,0.021178597147209488,0.05717093892812619,-0.047477407976734526,0.8483523750173116,-0.0008595900844758295,-3.6064257028112436
Whitney Houston,69,0.6046666666666667,0.5309710144927536,0.4349608695652174,0.414775884057971,-9.68750724637681,0.04681014492753623,47.82608695652174,-0.08075862068965511,-0.12059737631184408,-0.16072361319340334,0.1896818495752124,-0.13144402798600474,-0.0018783608195902038,3.1594202898550776
